"sample_date","time_point","read_date","id","storage_condition","dilution_factor","sample_vol_uL","plaque_count"
"2021-12-07","T29","2021-12-08","neg_ecoli_only","NA","1","300","0"
"2021-12-07","T29","2021-12-08","15C1N","15","1","300","0"
"2021-12-14","T36","2021-12-15","15R1F","15","1","300","TNTC"
"2021-12-14","T36","2021-12-15","15R1F","15","10","300","TNTC"
"2021-12-14","T36","2021-12-15","15R1F","15","100","300","177"
"2021-12-14","T36","2021-12-15","15R1F","15","1000","300","15"
"2021-12-14","T36","2021-12-15","15R2F","15","1","300","0"
"2021-12-14","T36","2021-12-15","15R1U","15","1","300","0"
"2021-12-14","T36","2021-12-15","15R2U","15","1","300","0"
"2021-12-14","T36","2021-12-15","10R1F","10","1","300","TNTC"
"2021-12-14","T36","2021-12-15","10R1F","10","10","300","TNTC"
"2021-12-14","T36","2021-12-15","10R1F","10","100","300","27"
"2021-12-14","T36","2021-12-15","10R1F","10","1000","300","1"
"2021-12-14","T36","2021-12-15","10R2F","10","1","300","TNTC"
"2021-12-14","T36","2021-12-15","10R2F","10","10","300","275"
"2021-12-14","T36","2021-12-15","10R2F","10","100","300","27"
"2021-12-14","T36","2021-12-15","10R2F","10","1000","300","1"
"2021-12-14","T36","2021-12-15","10R1U","10","1","300","139"
"2021-12-14","T36","2021-12-15","10R1U","10","10","300","2"
"2021-12-14","T36","2021-12-15","10R1U","10","100","300","0"
"2021-12-14","T36","2021-12-15","10R2U","10","1","300","TNTC"
"2021-12-14","T36","2021-12-15","10R2U","10","10","300","32"
"2021-12-14","T36","2021-12-15","10R2U","10","100","300","2"
"2021-12-14","T36","2021-12-15","10R2U","10","1000","300","0"
"2021-12-14","T36","2021-12-15","20R1F","20","1","300","0"
"2021-12-14","T36","2021-12-15","20R2F","20","1","300","5"
"2021-12-14","T36","2021-12-15","20R2F","20","10","300","0"
"2021-12-14","T36","2021-12-15","20R1U","20","1","300","0"
"2021-12-14","T36","2021-12-15","20R2U","20","1","300","0"
"2021-12-14","T36","2021-12-15","neg_ecoli_only","NA","1","300","0"
"2021-12-14","T36","2021-12-15","15C1N","15","1","300","0"
"2022-07-18","T0","2022-07-19","20C5N","20","1","300","0"
"2022-07-18","T0","2022-07-19","neg_ecoli_only","20","1","300","0"
"2022-07-19","T1","2022-07-20","20C5N","20","1","300","0"
"2022-07-19","T1","2022-07-20","neg_ecoli_only","20","1","300","0"
"2022-07-25","T7","2022-07-26","20C5N","20","1","300","0"
"2022-07-25","T7","2022-07-26","neg_ecoli_only","20","1","300","0"
"2022-08-03","T16","2022-08-04","20C5N","20","1","300","0"
"2022-08-03","T16","2022-08-04","neg_ecoli_only","20","1","300","0"
"2022-08-08","T21","2022-08-09","20C5N","20","1","300","0"
"2022-08-08","T21","2022-08-09","neg_ecoli_only","20","1","300","0"
"2022-08-15","T28","2022-08-16","20C5N","20","1","300","0"
"2022-08-15","T28","2022-08-16","neg_ecoli_only","20","1","300","0"
